species.name,phenophase,trophic.level,consumer.type,food.source,habitat.type,eco.type,spp,type.of.action,continent,site.location,endo.ecto
Ficedula hypoleuca,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp1,predation,Baltic sea,Baltic sea,endothermic
Fringilla coelebs,first appearance,secondary consumer,omnivore,"insects, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Fringilla montifringilla,first appearance,secondary consumer,omnivore,"insects, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Hippolais icterina,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Hirundo rustica,first appearance,secondary consumer,insectivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Luscinia luscinia,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Motacilla alba,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Parus caeruleus,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Parus major,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Phoenicurus ochruros,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Phoenicurus phoenicurus,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Phylloscopus collybita,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Phylloscopus sibilatrix,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Phylloscopus trochilus,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Prunella modularis,first appearance,secondary consumer,omnivore,"insects, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Pyrrhula pyrrhula,first appearance,primary consumer,herbivore,seeds,terrestrial,terrestrial,spp2,herbivory,Baltic sea,Baltic sea,endothermic
Regulus regulus,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Saxicola rubetra,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Spinus spinus,first appearance,secondary consumer,omnivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Sylvia atricapilla,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Sylvia borin,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Sylvia communis,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Sylvia curruca,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Sylvia nisoria,first appearance,secondary consumer,omnivore,"insects, fruit",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Troglodytes troglodytes,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Guillemots,mating,secondary consumer,carnivore,fish,marine-seabird,terrestrial,spp1,competition,Artic Ocean,Barents Sea,endothermic
Rissa tridactyla,mating,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,terrestrial,spp2,competition,Artic Ocean,Barents Sea,endothermic
Acrocephalus arundinaceus,egg laying,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp1,competition,Europe,Barvaria,endothermic
Acrocephalus scirpaceus,egg laying,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,competition,Europe,Barvaria,endothermic
Accipiter striatus,first appearance,tertiary consumer,carnivore,birds,terrestrial,terrestrial,spp2,predation,North America,Canada,endothermic
Branta canadensis,egg laying,primary consumer,herbivore,plant material,freshwater-terrestrial,terrestrial,spp2,herbivory,North America,Canada,endothermic
Branta canadensis,first appearance,primary consumer,herbivore,plant material,freshwater-terrestrial,terrestrial,spp2,herbivory,North America,Canada,endothermic
Cerorhinca monocerata,reproduction,secondary consumer,carnivore,fish,marine-seabird,aquatic,spp2,predation,North America,Canada,endothermic
