Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.76,1.72,50.42,5.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.84,1.72,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.89,1.72,50.88,4.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.90,1.72,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sardinia,native,Mustelidae,Mustela,Male,3.96,1.72,39.88,9.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.97,1.72,50.13,4.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.97,1.72,57.40,-2.22,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.99,1.72,57.72,12.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Female,4.03,1.72,43.90,1.20,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.20,1.72,50.90,-0.40,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.20,1.72,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Male,3.67,1.73,46.88,2.45,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Oregon,native,Mustelidae,Mustela,Male,3.74,1.73,45.28,-123.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Male,3.79,1.73,48.53,-117.63,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Mitkof,native,Mustelidae,Mustela,Male,3.97,1.73,56.73,-132.77,,,,
Mustela erminea,Mustela erminea,Mustela erminea,New Hampshire,native,Mustelidae,Mustela,Male,4.02,1.73,43.03,-71.07,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Southampton,native,Mustelidae,Mustela,Female,4.03,1.73,63.73,-82.52,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.06,1.73,44.57,-68.80,,,,
Mustela erminea,Mustela erminea,Mustela erminea,North Dakota,native,Mustelidae,Mustela,Male,4.08,1.73,47.92,-98.38,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Southampton,native,Mustelidae,Mustela,Female,4.09,1.73,64.13,-83.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Male,4.09,1.73,57.60,-133.35,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.09,1.73,44.98,-67.08,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Male,4.10,1.73,57.60,-133.35,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.15,1.73,56.30,-158.38,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.18,1.73,49.07,-122.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Female,4.22,1.73,45.42,-93.20,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Norway,native,Mustelidae,Mustela,Female,4.22,1.73,61.33,8.92,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.22,1.73,51.52,-56.82,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Quebec,native,Mustelidae,Mustela,Male,4.24,1.73,48.57,-66.15,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Oland,native,Mustelidae,Mustela,Female,4.26,1.73,56.23,16.42,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Austria,native,Mustelidae,Mustela,Female,4.30,1.73,48.20,15.22,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.37,1.73,66.92,-151.52,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Devon Island,native,Mustelidae,Mustela,Female,4.40,1.73,75.67,-84.60,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Michigan,native,Mustelidae,Mustela,Male,4.47,1.73,46.35,-85.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Male,4.55,1.73,71.30,-156.78,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Germany,native,Mustelidae,Mustela,Female,NA,1.73,50.72,11.33,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Ohio,native,Mustelidae,Mustela,Female,4.34,1.73,40.83,-82.25,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Idaho,native,Mustelidae,Mustela,Female,4.56,1.73,44.50,-114.00,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Idaho,native,Mustelidae,Mustela,Female,4.57,1.73,44.97,-115.50,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.55,1.73,50.33,5.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.67,1.73,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.75,1.73,50.58,4.72,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Male,3.78,1.73,47.52,5.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Oland,native,Mustelidae,Mustela,Male,3.79,1.73,56.72,16.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Male,3.82,1.73,54.13,10.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Male,3.82,1.73,51.12,13.12,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.84,1.73,50.58,4.72,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.84,1.73,51.88,0.57,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Mallorca,native,Mustelidae,Mustela,Male,3.88,1.73,39.50,3.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Male,3.97,1.73,47.52,5.10,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,4.07,1.73,56.25,14.08,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Netherlands,native,Mustelidae,Mustela,Male,4.18,1.73,52.38,7.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,4.31,1.73,50.30,5.47,,,,
Eupleres goudotii,Eupleres goudotii,Eupleres goudotii,Madagascar,native,Eupleridae,Eupleres,Female,4.42,1.74,-18.10,48.47,,,,
Mustela altaica,Mustela altaica,Mustela altaica,China,native,Mustelidae,Mustela,Female,4.58,1.74,48.55,122.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Female,3.74,1.74,44.58,-70.22,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Connecticut,native,Mustelidae,Mustela,Male,3.74,1.74,41.58,-73.52,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,3.82,1.74,50.63,-119.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.86,1.74,48.88,-121.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Vancouver Island,native,Mustelidae,Mustela,Female,3.90,1.74,48.87,-124.27,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Male,3.90,1.74,49.87,-94.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,3.94,1.74,45.50,-94.67,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.00,1.74,53.50,-64.53,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Massachusetts,native,Mustelidae,Mustela,Male,4.00,1.74,41.90,-71.08,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.04,1.74,58.80,-122.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Russia,native,Mustelidae,Mustela,Male,4.11,1.74,68.53,160.93,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Idaho,native,Mustelidae,Mustela,Male,4.15,1.74,45.97,-115.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.15,1.74,51.77,-56.33,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Male,4.15,1.74,52.83,-93.65,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.18,1.74,49.17,-121.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Germany,native,Mustelidae,Mustela,Male,4.18,1.74,53.50,12.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.19,1.74,45.32,-93.57,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Vermont,native,Mustelidae,Mustela,Male,4.20,1.74,43.62,-72.98,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.21,1.74,58.80,-122.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.23,1.74,63.83,-152.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Admiralty,native,Mustelidae,Mustela,Male,4.23,1.74,57.67,-134.07,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Male,4.26,1.74,52.83,-93.65,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ireland,native,Mustelidae,Mustela,Female,4.27,1.74,54.22,-5.92,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.28,1.74,49.17,-121.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.38,1.74,63.83,-152.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.43,1.74,44.70,-71.02,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.49,1.74,68.65,-166.23,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Newfoundland,native,Mustelidae,Mustela,Male,4.56,1.74,48.40,-58.88,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Pakistan,native,Mustelidae,Mustela,Female,4.63,1.74,34.87,75.12,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Connecticut,native,Mustelidae,Mustela,Female,4.30,1.74,41.67,-72.25,,,,
Mustela frenata,Mustela frenata,Mustela frenata,California,native,Mustelidae,Mustela,Female,4.42,1.74,41.57,-120.25,,,,
Mustela frenata,Mustela frenata,Mustela frenata,California,native,Mustelidae,Mustela,Female,4.58,1.74,37.92,-119.27,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Oregon,native,Mustelidae,Mustela,Female,4.66,1.74,44.00,-121.25,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Netherlands,native,Mustelidae,Mustela,Female,3.65,1.74,51.12,5.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Netherlands,native,Mustelidae,Mustela,Male,3.68,1.74,52.35,4.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.76,1.74,50.20,5.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.78,1.74,56.40,16.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Oland,native,Mustelidae,Mustela,Male,3.79,1.74,56.72,16.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.80,1.74,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.82,1.74,51.83,-1.25,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.85,1.74,51.08,2.60,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.89,1.74,55.07,-3.28,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.90,1.74,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.92,1.74,57.78,14.18,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Male,3.94,1.74,48.73,2.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.94,1.74,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.96,1.74,50.58,5.43,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Male,3.96,1.74,51.08,13.67,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,France,native,Mustelidae,Mustela,Male,3.99,1.74,47.45,5.42,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.02,1.74,51.77,-0.65,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Oland,native,Mustelidae,Mustela,Male,4.03,1.74,56.72,16.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.04,1.74,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sjaelland,native,Mustelidae,Mustela,Male,4.14,1.74,55.50,11.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.27,1.74,54.92,-4.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,3.80,1.75,49.28,-122.85,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Southampton,native,Mustelidae,Mustela,Female,3.90,1.75,64.13,-83.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ireland,native,Mustelidae,Mustela,Female,3.94,1.75,54.65,-5.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Cape Breton,native,Mustelidae,Mustela,Male,4.02,1.75,46.35,-60.97,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Switzerland,native,Mustelidae,Mustela,Female,4.03,1.75,46.20,6.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Male,4.04,1.75,48.52,-121.98,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.09,1.75,58.80,-122.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.11,1.75,47.50,-93.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Nova Scotia,native,Mustelidae,Mustela,Male,4.11,1.75,44.50,-65.25,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.16,1.75,47.00,-96.50,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.18,1.75,53.27,-121.27,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Norway,native,Mustelidae,Mustela,Female,4.20,1.75,61.33,8.92,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.21,1.75,66.57,-152.57,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.24,1.75,44.20,-69.28,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Michigan,native,Mustelidae,Mustela,Male,4.24,1.75,46.00,-87.00,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Flaherty,native,Mustelidae,Mustela,Male,4.28,1.75,56.60,-79.20,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.30,1.75,58.80,-122.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.31,1.75,45.75,-69.33,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Belgium,native,Mustelidae,Mustela,Male,4.32,1.75,50.17,5.55,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.32,1.75,47.50,-93.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Female,4.33,1.75,50.82,-118.03,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Male,4.33,1.75,50.20,-81.67,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Yukon,native,Mustelidae,Mustela,Female,4.35,1.75,64.15,-139.48,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Moresby,native,Mustelidae,Mustela,Male,4.36,1.75,53.05,-131.78,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Male,4.37,1.75,56.27,-89.38,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.39,1.75,58.80,-122.70,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.53,1.75,70.63,-160.03,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Sweden,native,Mustelidae,Mustela,Male,4.56,1.75,64.50,14.15,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.74,1.75,64.78,-141.20,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Massachusetts,native,Mustelidae,Mustela,Female,4.15,1.75,41.77,-70.72,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Venezuela,native,Mustelidae,Mustela,Female,4.41,1.75,8.60,-71.13,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Venezuela,native,Mustelidae,Mustela,Female,4.47,1.75,8.60,-71.13,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Oregon,native,Mustelidae,Mustela,Female,4.49,1.75,43.00,-119.00,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Washington,native,Mustelidae,Mustela,Female,4.66,1.75,48.55,-119.75,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Oregon,native,Mustelidae,Mustela,Female,4.82,1.75,42.00,-120.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sjaelland,native,Mustelidae,Mustela,Male,3.83,1.75,55.50,11.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Netherlands,native,Mustelidae,Mustela,Male,3.89,1.75,51.53,4.22,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.91,1.75,51.00,4.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.92,1.75,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.93,1.75,50.15,5.12,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.99,1.75,51.20,3.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.17,1.75,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,4.19,1.75,50.90,4.37,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sjaelland,native,Mustelidae,Mustela,Male,4.16,1.76,55.50,11.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Male,3.78,1.76,48.52,-121.98,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,3.88,1.76,53.33,-62.87,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,3.93,1.76,49.07,-122.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Newfoundland,native,Mustelidae,Mustela,Male,4.07,1.76,48.40,-58.88,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.08,1.76,51.77,-56.33,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Russia,native,Mustelidae,Mustela,Male,4.08,1.76,57.00,115.00,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Tukarak,native,Mustelidae,Mustela,Male,4.08,1.76,56.27,-78.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Greenland,native,Mustelidae,Mustela,Female,4.17,1.76,70.48,-21.97,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Male,4.20,1.76,64.33,-147.00,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Sweden,native,Mustelidae,Mustela,Female,4.22,1.76,59.63,17.07,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Female,4.23,1.76,55.38,-126.02,,,,
Mustela erminea,Mustela erminea,Mustela erminea,North Dakota,native,Mustelidae,Mustela,Male,4.24,1.76,47.60,-98.92,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.25,1.76,51.52,-56.82,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Newfoundland,native,Mustelidae,Mustela,Male,4.25,1.76,48.40,-58.88,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.32,1.76,44.57,-68.80,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Female,4.44,1.76,68.58,-156.25,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Female,4.52,1.76,50.25,-118.97,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Michigan,native,Mustelidae,Mustela,Female,3.95,1.76,42.33,-84.50,,,,
Mustela frenata,Mustela frenata,Mustela frenata,New Hampshire,native,Mustelidae,Mustela,Female,4.17,1.76,43.68,-71.12,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Oregon,native,Mustelidae,Mustela,Female,4.60,1.76,42.70,-122.00,,,,
Mustela frenata,Mustela frenata,Mustela frenata,Idaho,native,Mustelidae,Mustela,Female,4.78,1.76,45.97,-115.70,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Male,3.66,1.76,51.00,9.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.81,1.76,50.90,-0.40,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.81,1.76,52.33,-0.83,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.83,1.76,50.13,4.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.83,1.76,55.70,13.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.89,1.76,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.89,1.76,57.98,15.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,3.90,1.76,50.92,-1.42,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Male,3.91,1.76,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.01,1.76,52.03,0.08,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.01,1.76,54.23,-1.33,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,4.06,1.76,57.72,12.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,4.06,1.76,57.82,16.05,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.15,1.76,50.85,-2.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Male,4.20,1.76,52.52,13.90,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.23,1.76,54.92,-4.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Britain,native,Mustelidae,Mustela,Male,4.26,1.76,54.92,-4.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Female,3.83,1.77,44.58,-70.22,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Quebec,native,Mustelidae,Mustela,Female,3.84,1.77,48.92,-66.20,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Alaska,native,Mustelidae,Mustela,Male,3.94,1.77,55.73,-132.00,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Cape Breton,native,Mustelidae,Mustela,Male,3.97,1.77,45.67,-60.87,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.01,1.77,49.07,-122.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Tukarak,native,Mustelidae,Mustela,Male,4.09,1.77,56.27,-78.75,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Sweden,native,Mustelidae,Mustela,Female,4.15,1.77,59.86,17.63,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Labrador,native,Mustelidae,Mustela,Male,4.19,1.77,53.32,-55.83,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Maine,native,Mustelidae,Mustela,Male,4.21,1.77,44.57,-68.80,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.22,1.77,45.32,-93.57,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.22,1.77,45.42,-93.20,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.25,1.77,49.07,-122.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Male,4.25,1.77,45.42,-93.20,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Male,4.26,1.77,53.27,-121.27,,,,
